"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Pierce","CITY OF TACOMA Mayor","WRITE-IN"," ","60","0.2636","City/Town"
"Pierce","CITY OF TACOMA Council-at-Large Position No. 6","Lindsay Wills"," ","2437","11.1467","City/Town"
"Pierce","CITY OF TACOMA Council-at-Large Position No. 6","Hunter D. Henderson"," ","2140","9.7882","City/Town"
"Pierce","CITY OF TACOMA Council-at-Large Position No. 6","Krista Perez"," ","4372","19.9973","City/Town"
"Pierce","CITY OF TACOMA Council-at-Large Position No. 6","Jessica Johnston"," ","4583","20.9624","City/Town"
"Pierce","CITY OF TACOMA Council-at-Large Position No. 6","Todd Briske"," ","1956","8.9466","City/Town"
"Pierce","CITY OF TACOMA Council-at-Large Position No. 6","Latasha Palmer"," ","6279","28.7198","City/Town"
"Pierce","CITY OF TACOMA Council-at-Large Position No. 6","WRITE-IN"," ","96","0.4391","City/Town"
"Pierce","CITY OF TACOMA COUNCIL DIST. 4 Council - District No. 4","Israel James McKinney"," ","769","26.0678","City/Town"
"Pierce","CITY OF TACOMA COUNCIL DIST. 4 Council - District No. 4","Silong Chhun"," ","1005","34.0678","City/Town"
"Pierce","CITY OF TACOMA COUNCIL DIST. 4 Council - District No. 4","Sandesh Sadalge"," ","1152","39.0508","City/Town"
"Pierce","CITY OF TACOMA COUNCIL DIST. 4 Council - District No. 4","WRITE-IN"," ","24","0.8136","City/Town"
"Pierce","CITY OF TACOMA COUNCIL DIST. 5 Council - District No. 5","Brandon A. Vollmer"," ","409","15.1706","City/Town"
"Pierce","CITY OF TACOMA COUNCIL DIST. 5 Council - District No. 5","Joe Bushnell"," ","1484","55.0445","City/Town"
"Pierce","CITY OF TACOMA COUNCIL DIST. 5 Council - District No. 5","Zev Cook"," ","789","29.2656","City/Town"
"Pierce","CITY OF TACOMA COUNCIL DIST. 5 Council - District No. 5","WRITE-IN"," ","14","0.5193","City/Town"
"Pierce","STEILACOOM HISTORICAL SCHOOL DIST. NO. 1 Director - Position No. 1","Cody S. Balogh"," ","1168","37.9344","School"
"Pierce","STEILACOOM HISTORICAL SCHOOL DIST. NO. 1 Director - Position No. 1","Gudrun Sullivan"," ","1108","35.9857","School"
"Pierce","STEILACOOM HISTORICAL SCHOOL DIST. NO. 1 Director - Position No. 1","Destiny Probst"," ","790","25.6577","School"
"Pierce","STEILACOOM HISTORICAL SCHOOL DIST. NO. 1 Director - Position No. 1","WRITE-IN"," ","13","0.4222","School"
"Pierce","YELM COMMUNITY SCHOOLS School Board Director, District No. 1","Frank King"," ","321","58.4699","School"
"Pierce","YELM COMMUNITY SCHOOLS School Board Director, District No. 1","Ray Duncan"," ","139","25.3188","School"
"Pierce","YELM COMMUNITY SCHOOLS School Board Director, District No. 1","Angela Gardner"," ","82","14.9362","School"
"Pierce","YELM COMMUNITY SCHOOLS School Board Director, District No. 1","WRITE-IN"," ","7","1.275","School"
"Pierce","YELM COMMUNITY SCHOOLS School Board Director, District No. 4","Terrie Hargreaves"," ","21","3.7702","School"
"Pierce","YELM COMMUNITY SCHOOLS School Board Director, District No. 4","Debbie Edwards"," ","179","32.1364","School"
"Pierce","YELM COMMUNITY SCHOOLS School Board Director, District No. 4","Ryan Jewell"," ","282","50.6284","School"
"Pierce","YELM COMMUNITY SCHOOLS School Board Director, District No. 4","Debi Matthews"," ","54","9.6948","School"
"Pierce","YELM COMMUNITY SCHOOLS School Board Director, District No. 4","Miranda Dries"," ","18","3.2316","School"
"Pierce","YELM COMMUNITY SCHOOLS School Board Director, District No. 4","WRITE-IN"," ","3","0.5386","School"
"Pierce","PUYALLUP SCHOOL DISTRICT NO. 3 Director - Position No. 1","Frank Archer"," ","3810","28.4371","School"
"Pierce","PUYALLUP SCHOOL DISTRICT NO. 3 Director - Position No. 1","Ellen Aronson"," ","4042","30.1687","School"
"Pierce","PUYALLUP SCHOOL DISTRICT NO. 3 Director - Position No. 1","Melissa Bedford"," ","5489","40.9688","School"
"Pierce","PUYALLUP SCHOOL DISTRICT NO. 3 Director - Position No. 1","WRITE-IN"," ","57","0.4254","School"
"Pierce","TACOMA SCHOOL DISTRICT NO. 10 Director - Position No. 1","Brian Wolk"," ","3655","15.4893","School"
"Pierce","TACOMA SCHOOL DISTRICT NO. 10 Director - Position No. 1","Lisa Keating"," ","15152","64.2116","School"
"Pierce","TACOMA SCHOOL DISTRICT NO. 10 Director - Position No. 1","Caleb Fahey"," ","4676","19.8161","School"
"Pierce","TACOMA SCHOOL DISTRICT NO. 10 Director - Position No. 1","WRITE-IN"," ","114","0.4831","School"
"Pierce","ORTING SCHOOL DISTRICT NO. 344 Director - District No. 2","Joshua Glandon"," ","371","21.1396","School"
"Pierce","ORTING SCHOOL DISTRICT NO. 344 Director - District No. 2","Matthew Tasin"," ","999","56.9231","School"
"Pierce","ORTING SCHOOL DISTRICT NO. 344 Director - District No. 2","Reshonda Williams"," ","380","21.6524","School"
"Pierce","ORTING SCHOOL DISTRICT NO. 344 Director - District No. 2","WRITE-IN"," ","5","0.2849","School"
"Pierce","CENTRAL PIERCE FIRE &amp; RESCUE Commissioner - Position No. 3","Cody Ruscheinsky"," ","1674","9.7552","Fire"
"Pierce","CENTRAL PIERCE FIRE &amp; RESCUE Commissioner - Position No. 3","Dale Mitchell"," ","9866","57.4942","Fire"
"Pierce","CENTRAL PIERCE FIRE &amp; RESCUE Commissioner - Position No. 3","John Caverly"," ","5547","32.3252","Fire"
"Pierce","CENTRAL PIERCE FIRE &amp; RESCUE Commissioner - Position No. 3","WRITE-IN"," ","73","0.4254","Fire"
"Pierce","FIRE PROTECTION DISTRICT NO. 5 Commissioner - Position No. 4","Phil Hayden"," ","7279","61.0706","Fire"
"Pierce","FIRE PROTECTION DISTRICT NO. 5 Commissioner - Position No. 4","Thomas Lemoine"," ","3335","27.9805","Fire"
"Pierce","FIRE PROTECTION DISTRICT NO. 5 Commissioner - Position No. 4","Weston King"," ","1285","10.7811","Fire"
"Pierce","FIRE PROTECTION DISTRICT NO. 5 Commissioner - Position No. 4","WRITE-IN"," ","20","0.1678","Fire"
"Pierce","FIRE PROTECTION DISTRICT NO. 14 Proposition No. 1","YES"," ","129","66.1538","Fire"
"Pierce","FIRE PROTECTION DISTRICT NO. 14 Proposition No. 1","NO"," ","66","33.8462","Fire"
"Pierce","FIRE PROTECTION DISTRICT NO. 16 Proposition No. 1","YES"," ","1946","62.4719","Fire"
"Pierce","FIRE PROTECTION DISTRICT NO. 16 Proposition No. 1","NO"," ","1169","37.5281","Fire"
"Pierce","FIRE PROTECTION DISTRICT NO. 16 Commissioner - Position No. 1","Gretchen Schneider"," ","718","24.9392","Fire"
"Pierce","FIRE PROTECTION DISTRICT NO. 16 Commissioner - Position No. 1","Jennifer Dow"," ","83","2.8829","Fire"
"Pierce","FIRE PROTECTION DISTRICT NO. 16 Commissioner - Position No. 1","Colleen Marie Mullen"," ","935","32.4766","Fire"
"Pierce","FIRE PROTECTION DISTRICT NO. 16 Commissioner - Position No. 1","Josh Johnson"," ","593","20.5974","Fire"
"Pierce","FIRE PROTECTION DISTRICT NO. 16 Commissioner - Position No. 1","Ed Bressette, Jr."," ","525","18.2355","Fire"
"Pierce","FIRE PROTECTION DISTRICT NO. 16 Commissioner - Position No. 1","WRITE-IN"," ","25","0.8684","Fire"
"San Juan","Lopez Island Library District Proposition No. 1 -  Restoring Regular Property Tax Levy Rate","Yes"," ","643","76.7303","Library"
"San Juan","Lopez Island Library District Proposition No. 1 -  Restoring Regular Property Tax Levy Rate","No"," ","195","23.2697","Library"
"San Juan","LOPEZ ISLAND SCHOOL DISTRICT NO. 144 Proposition No. 1 - Capital Projects Levy","Yes"," ","645","73.4624","School"
"San Juan","LOPEZ ISLAND SCHOOL DISTRICT NO. 144 Proposition No. 1 - Capital Projects Levy","No"," ","233","26.5376","School"
"San Juan","Town of Friday Harbor Mayor","Pamela Hoke"," ","92","12.2178","City/Town"
"San Juan","Town of Friday Harbor Mayor","Emilio Santiago"," ","234","31.0757","City/Town"
"San Juan","Town of Friday Harbor Mayor","Ray Jackson"," ","94","12.4834","City/Town"
"San Juan","Town of Friday Harbor Mayor","Tanja Williamson"," ","4","0.5312","City/Town"
"San Juan","Town of Friday Harbor Mayor","Evan Perrollaz"," ","327","43.4263","City/Town"
"San Juan","Town of Friday Harbor Mayor","WRITE-IN"," ","2","0.2656","City/Town"
"Skagit","CITY OF MOUNT VERNON Council-At-Large","Consuelo Pineda"," ","591","18.0018","City/Town"
"Skagit","CITY OF MOUNT VERNON Council-At-Large","Stefanie LeJeunesse"," ","568","17.3012","City/Town"
"Skagit","CITY OF MOUNT VERNON Council-At-Large","Demi Daman"," ","2108","64.2096","City/Town"
"Skagit","CITY OF MOUNT VERNON Council-At-Large","WRITE-IN"," ","16","0.4874","City/Town"
"Skagit","SEDRO-WOOLLEY WARD 6 Council Ward 6","Kent Mocabee"," ","30","15.7895","City/Town"
"Skagit","SEDRO-WOOLLEY WARD 6 Council Ward 6","Karl de Jong"," ","61","32.1053","City/Town"
"Skagit","SEDRO-WOOLLEY WARD 6 Council Ward 6","Joe Burns"," ","99","52.1053","City/Town"
"Skagit","SEDRO-WOOLLEY WARD 6 Council Ward 6","WRITE-IN"," ","0","0","City/Town"
"Skagit","SEDRO-WOOLLEY SCHOOL DISTRICT NO. 101 Director District 1","Cindy Wiedmann"," ","447","14.186","School"
"Skagit","SEDRO-WOOLLEY SCHOOL DISTRICT NO. 101 Director District 1","Brent Schiefelbein"," ","1080","34.2748","School"
"Skagit","SEDRO-WOOLLEY SCHOOL DISTRICT NO. 101 Director District 1","Jim Kallio"," ","1611","51.1266","School"
"Skagit","SEDRO-WOOLLEY SCHOOL DISTRICT NO. 101 Director District 1","WRITE-IN"," ","13","0.4126","School"
"Skagit","HOSPITAL DISTRICT 304 Commissioner Position 5","Germaine Kornegay"," ","1880","35.3982","Hospital"
"Skagit","HOSPITAL DISTRICT 304 Commissioner Position 5","Ellen de Jong"," ","1893","35.643","Hospital"
"Skagit","HOSPITAL DISTRICT 304 Commissioner Position 5","Robert Stanley"," ","1523","28.6763","Hospital"
"Skagit","HOSPITAL DISTRICT 304 Commissioner Position 5","WRITE-IN"," ","15","0.2824","Hospital"
"Skagit","ANACORTES PORT DISTRICT 1 Commissioner Position 1","Mary LaFleur"," ","688","41.3959","Port"
"Skagit","ANACORTES PORT DISTRICT 1 Commissioner Position 1","Terry Carroll-Gillis"," ","649","39.0493","Port"
"Skagit","ANACORTES PORT DISTRICT 1 Commissioner Position 1","Michael J McClintock"," ","320","19.2539","Port"
"Skagit","ANACORTES PORT DISTRICT 1 Commissioner Position 1","WRITE-IN"," ","5","0.3008","Port"
"Skagit","SKAGIT PORT DISTRICT 2 Commissioner Position 2","Keith Chaplin"," ","816","24.8629","Port"
"Skagit","SKAGIT PORT DISTRICT 2 Commissioner Position 2","Edwin Stickle"," ","735","22.3949","Port"
"Skagit","SKAGIT PORT DISTRICT 2 Commissioner Position 2","Melanie Mankamyer"," ","1725","52.5594","Port"
"Skagit","SKAGIT PORT DISTRICT 2 Commissioner Position 2","WRITE-IN"," ","6","0.1828","Port"
"Skamania","HOME VALLEY WATER DISTRICT Maintenance and Capital Improvement Fund Levy","LEVY......YES"," ","43","60.5634","Water"
"Skamania","HOME VALLEY WATER DISTRICT Maintenance and Capital Improvement Fund Levy","LEVY......NO"," ","28","39.4366","Water"
"Skamania","CITY OF STEVENSON Mayor","Lucy E. J. Lauser"," ","14","3.125","City/Town"
"Skamania","CITY OF STEVENSON Mayor","Scott Anderson"," ","141","31.4732","City/Town"
"Skamania","CITY OF STEVENSON Mayor","Jenny Collins Taylor"," ","292","65.1786","City/Town"
"Skamania","CITY OF STEVENSON Mayor","WRITE-IN"," ","1","0.2232","City/Town"
"Skamania","CITY OF STEVENSON Council pos #1","Xochil Springer"," ","78","17.4497","City/Town"
"Skamania","CITY OF STEVENSON Council pos #1","Tina Van Pelt"," ","329","73.6018","City/Town"
"Skamania","CITY OF STEVENSON Council pos #1","Christi Morris"," ","36","8.0537","City/Town"
"Skamania","CITY OF STEVENSON Council pos #1","WRITE-IN"," ","4","0.8949","City/Town"
"Skamania","CITY OF STEVENSON Council pos #2","Jeff Breckel"," ","145","32.7314","City/Town"
"Skamania","CITY OF STEVENSON Council pos #2","Paul Goins"," ","60","13.544","City/Town"
"Skamania","CITY OF STEVENSON Council pos #2","Erin Theresa Minnis"," ","235","53.0474","City/Town"
"Skamania","CITY OF STEVENSON Council pos #2","WRITE-IN"," ","3","0.6772","City/Town"
"Skamania","FT VANCOUVER REGIONAL LIBRARY DIST. Proposition No. 1","Yes"," ","1115","49.6881","Library"
"Skamania","FT VANCOUVER REGIONAL LIBRARY DIST. Proposition No. 1","No"," ","1129","50.3119","Library"
"Snohomish","COUNTY COUNCIL DISTRICT 1 Council District 1","Nate Nehring","(Prefers Republican Party)","19068","91.1908","County"
"Snohomish","COUNTY COUNCIL DISTRICT 1 Council District 1","WRITE-IN"," ","1842","8.8092","County"
"Snohomish","COUNTY COUNCIL DISTRICT 4 Council District 4","Jared Mead","(Prefers Democratic Party)","16215","94.664","County"
"Snohomish","COUNTY COUNCIL DISTRICT 4 Council District 4","WRITE-IN"," ","914","5.336","County"
"Snohomish","COUNTY COUNCIL DISTRICT 5 Council District 5","Kelli Johnson","(Prefers Democratic Party)","12540","46.0471","County"
"Snohomish","COUNTY COUNCIL DISTRICT 5 Council District 5","Sam Low","(Prefers Republican Party)","14643","53.7693","County"
"Snohomish","COUNTY COUNCIL DISTRICT 5 Council District 5","WRITE-IN"," ","50","0.1836","County"
"Snohomish","CITY OF EDMONDS Council Position 3","Alex Newman"," ","4900","41.5924","City/Town"
"Snohomish","CITY OF EDMONDS Council Position 3","Joseph Ademofe"," ","1108","9.405","City/Town"
"Snohomish","CITY OF EDMONDS Council Position 3","Erika Barnett"," ","5734","48.6716","City/Town"
"Snohomish","CITY OF EDMONDS Council Position 3","WRITE-IN"," ","39","0.331","City/Town"
"Snohomish","CITY OF EVERETT Mayor","Cassie Franklin"," ","5425","34.8695","City/Town"
"Snohomish","CITY OF EVERETT Mayor","Scott Murphy"," ","5488","35.2745","City/Town"
"Snohomish","CITY OF EVERETT Mayor","Rich Ryan"," ","462","2.9695","City/Town"
"Snohomish","CITY OF EVERETT Mayor","Janice R. Greene"," ","4126","26.5201","City/Town"
"Snohomish","CITY OF EVERETT Mayor","WRITE-IN"," ","57","0.3664","City/Town"
"Snohomish","CITY OF EVERETT COUNCIL DISTRICT 1 Council District 1","Sam Hem"," ","1398","31.8669","City/Town"
"Snohomish","CITY OF EVERETT COUNCIL DISTRICT 1 Council District 1","Steven Sullivan"," ","163","3.7155","City/Town"
"Snohomish","CITY OF EVERETT COUNCIL DISTRICT 1 Council District 1","Mason Rutledge"," ","1055","24.0483","City/Town"
"Snohomish","CITY OF EVERETT COUNCIL DISTRICT 1 Council District 1","Bill Wheeler"," ","521","11.876","City/Town"
"Snohomish","CITY OF EVERETT COUNCIL DISTRICT 1 Council District 1","Erica Weir"," ","1223","27.8778","City/Town"
"Snohomish","CITY OF EVERETT COUNCIL DISTRICT 1 Council District 1","WRITE-IN"," ","27","0.6155","City/Town"
"Snohomish","CITY OF EVERETT COUNCIL DISTRICT 2 Council District 2","Jonathan Shapiro"," ","105","3.0964","City/Town"
"Snohomish","CITY OF EVERETT COUNCIL DISTRICT 2 Council District 2","Ryan Crowther"," ","1345","39.6638","City/Town"
"Snohomish","CITY OF EVERETT COUNCIL DISTRICT 2 Council District 2","Paula Rhyne"," ","1918","56.5615","City/Town"
"Snohomish","CITY OF EVERETT COUNCIL DISTRICT 2 Council District 2","WRITE-IN"," ","23","0.6783","City/Town"
"Snohomish","CITY OF EVERETT COUNCIL DISTRICT 4 Council District 4","Niko Battle"," ","629","42.2999","City/Town"
"Snohomish","CITY OF EVERETT COUNCIL DISTRICT 4 Council District 4","Luis M. Burbano"," ","366","24.6133","City/Town"
"Snohomish","CITY OF EVERETT COUNCIL DISTRICT 4 Council District 4","Alan Rubio"," ","489","32.885","City/Town"
"Snohomish","CITY OF EVERETT COUNCIL DISTRICT 4 Council District 4","WRITE-IN"," ","3","0.2017","City/Town"
"Snohomish","CITY OF LYNNWOOD Council Position 1","Dio Boucsieguez"," ","1964","34.9715","City/Town"
"Snohomish","CITY OF LYNNWOOD Council Position 1","Derica Escamilla"," ","2655","47.2756","City/Town"
"Snohomish","CITY OF LYNNWOOD Council Position 1","Brandon Kimmel"," ","975","17.3611","City/Town"
"Snohomish","CITY OF LYNNWOOD Council Position 1","WRITE-IN"," ","22","0.3917","City/Town"
"Snohomish","CITY OF LYNNWOOD Council Position 3","Tyler Hall"," ","1771","31.4007","City/Town"
"Snohomish","CITY OF LYNNWOOD Council Position 3","Josh Binda"," ","1881","33.3511","City/Town"
"Snohomish","CITY OF LYNNWOOD Council Position 3","Bryce Owings"," ","1960","34.7518","City/Town"
"Snohomish","CITY OF LYNNWOOD Council Position 3","WRITE-IN"," ","28","0.4965","City/Town"
"Snohomish","CITY OF MARYSVILLE Council Position 3","Amber Cantu"," ","2147","21.0987","City/Town"
"Snohomish","CITY OF MARYSVILLE Council Position 3","Dan Perkins"," ","3012","29.5991","City/Town"
"Snohomish","CITY OF MARYSVILLE Council Position 3","David Garrett"," ","1514","14.8781","City/Town"
"Snohomish","CITY OF MARYSVILLE Council Position 3","Gary Kemp"," ","1391","13.6694","City/Town"
"Snohomish","CITY OF MARYSVILLE Council Position 3","R.J. Whitlow"," ","2042","20.0668","City/Town"
"Snohomish","CITY OF MARYSVILLE Council Position 3","WRITE-IN"," ","70","0.6879","City/Town"
"Snohomish","CITY OF MOUNTLAKE TERRACE Council Position 3","Michelle (Angrick) Delpeon"," ","625","18.0845","City/Town"
"Snohomish","CITY OF MOUNTLAKE TERRACE Council Position 3","Danny Luoma"," ","743","21.4988","City/Town"
"Snohomish","CITY OF MOUNTLAKE TERRACE Council Position 3","Othman Riad"," ","265","7.6678","City/Town"
"Snohomish","CITY OF MOUNTLAKE TERRACE Council Position 3","William L. Paige, Jr."," ","1792","51.8519","City/Town"
"Snohomish","CITY OF MOUNTLAKE TERRACE Council Position 3","WRITE-IN"," ","31","0.897","City/Town"
"Snohomish","CITY OF MUKILTEO Council Position 2","James Sterba"," ","1624","38.3834","City/Town"
"Snohomish","CITY OF MUKILTEO Council Position 2","Carolyn (Dode) Carlson"," ","1279","30.2293","City/Town"
"Snohomish","CITY OF MUKILTEO Council Position 2","Tina Over"," ","499","11.7939","City/Town"
"Snohomish","CITY OF MUKILTEO Council Position 2","Riaz Khan"," ","665","15.7173","City/Town"
"Snohomish","CITY OF MUKILTEO Council Position 2","Jon Welton"," ","150","3.5453","City/Town"
"Snohomish","CITY OF MUKILTEO Council Position 2","WRITE-IN"," ","14","0.3309","City/Town"
"Snohomish","GRANITE FALLS SCHOOL DISTRICT NO. 332 Director District 4","LaShae Lee"," ","753","42.2322","School"
"Snohomish","GRANITE FALLS SCHOOL DISTRICT NO. 332 Director District 4","Tina Veatch"," ","822","46.1021","School"
"Snohomish","GRANITE FALLS SCHOOL DISTRICT NO. 332 Director District 4","Erik Gochnour"," ","184","10.3197","School"
"Snohomish","GRANITE FALLS SCHOOL DISTRICT NO. 332 Director District 4","WRITE-IN"," ","24","1.346","School"
"Snohomish","NORTHSHORE SCHOOL DISTRICT NO. 417 Director District No. 1","Brian Travis"," ","1395","17.1904","School"
"Snohomish","NORTHSHORE SCHOOL DISTRICT NO. 417 Director District No. 1","Carson Sanderson"," ","4484","55.2557","School"
"Snohomish","NORTHSHORE SCHOOL DISTRICT NO. 417 Director District No. 1","Arun Sharma"," ","2213","27.2705","School"
"Snohomish","NORTHSHORE SCHOOL DISTRICT NO. 417 Director District No. 1","WRITE-IN"," ","23","0.2834","School"
"Snohomish","NORTHSHORE SCHOOL DISTRICT NO. 417 Director District No. 4","Sandy R Hayes"," ","4412","54.1084","School"
"Snohomish","NORTHSHORE SCHOOL DISTRICT NO. 417 Director District No. 4","Sehaj Dhaliwal"," ","1453","17.8195","School"
"Snohomish","NORTHSHORE SCHOOL DISTRICT NO. 417 Director District No. 4","JoAnn Tolentino"," ","2270","27.8391","School"
"Snohomish","NORTHSHORE SCHOOL DISTRICT NO. 417 Director District No. 4","WRITE-IN"," ","19","0.233","School"
"Snohomish","NORTHSHORE SCHOOL DISTRICT NO. 417 Director District No. 5","Kimberlee Kelly"," ","5134","63.1799","School"
"Snohomish","NORTHSHORE SCHOOL DISTRICT NO. 417 Director District No. 5","Holly Muenchow"," ","916","11.2725","School"
"Snohomish","NORTHSHORE SCHOOL DISTRICT NO. 417 Director District No. 5","Lynda Schram"," ","2062","25.3753","School"
"Snohomish","NORTHSHORE SCHOOL DISTRICT NO. 417 Director District No. 5","WRITE-IN"," ","14","0.1723","School"
"Snohomish","FIRE DISTRICT 4 Proposition No. 1","Approved"," ","4002","60.1352","Fire"
"Snohomish","FIRE DISTRICT 4 Proposition No. 1","Rejected"," ","2653","39.8648","Fire"
"Snohomish","MARYSVILLE FIRE DISTRICT RFA Proposition No. 1","Approved"," ","8486","64.084","Fire"
"Snohomish","MARYSVILLE FIRE DISTRICT RFA Proposition No. 1","Rejected"," ","4756","35.916","Fire"
"Snohomish","FIRE DISTRICT 25 Commissioner Position 1","Gary Moffett"," ","79","49.375","Fire"
"Snohomish","FIRE DISTRICT 25 Commissioner Position 1","Steve Ramey"," ","74","46.25","Fire"
"Snohomish","FIRE DISTRICT 25 Commissioner Position 1","Bruce King"," ","7","4.375","Fire"
"Snohomish","FIRE DISTRICT 25 Commissioner Position 1","WRITE-IN"," ","0","0","Fire"
"Snohomish","NCRFA COMMISSIONER DIST 1 Commissioner District 1","Mary Elizabeth Foster"," ","239","16.9744","Fire"
"Snohomish","NCRFA COMMISSIONER DIST 1 Commissioner District 1","Jeff Sinker"," ","214","15.1989","Fire"
"Snohomish","NCRFA COMMISSIONER DIST 1 Commissioner District 1","Greg Oakes"," ","939","66.6903","Fire"
"Snohomish","NCRFA COMMISSIONER DIST 1 Commissioner District 1","WRITE-IN"," ","16","1.1364","Fire"
"Snohomish","NORTH COUNTY REGIONAL FIRE AUTHORITY Proposition No. 1","Yes"," ","4696","62.1411","Fire"
"Snohomish","NORTH COUNTY REGIONAL FIRE AUTHORITY Proposition No. 1","No"," ","2861","37.8589","Fire"
"Snohomish","SNOHOMISH REGIONAL FIRE &amp; RESCUE Commissioner Position 6","Seth Henderson"," ","4507","24.3819","Fire"
"Snohomish","SNOHOMISH REGIONAL FIRE &amp; RESCUE Commissioner Position 6","Davin Alsin"," ","10204","55.2015","Fire"
"Snohomish","SNOHOMISH REGIONAL FIRE &amp; RESCUE Commissioner Position 6","Steve Guptill"," ","3698","20.0054","Fire"
"Snohomish","SNOHOMISH REGIONAL FIRE &amp; RESCUE Commissioner Position 6","WRITE-IN"," ","76","0.4111","Fire"
"Spokane","AQUIFER PROT AREA Measure No. 1","Yes"," ","45030","73.7894","Other"
"Spokane","AQUIFER PROT AREA Measure No. 1","No"," ","15995","26.2106","Other"
"Spokane","CITY OF SPOKANE VALLEY Proposition No. 1","Yes"," ","7700","58.8415","City/Town"
"Spokane","CITY OF SPOKANE VALLEY Proposition No. 1","No"," ","5386","41.1585","City/Town"
"Spokane","CITY OF CHENEY Council Position No. 4","Shawn Ricketson"," ","21","2.132","City/Town"
"Spokane","CITY OF CHENEY Council Position No. 4","Rebecca Long"," ","487","49.4416","City/Town"
"Spokane","CITY OF CHENEY Council Position No. 4","Timothy Steiner"," ","470","47.7157","City/Town"
"Spokane","CITY OF CHENEY Council Position No. 4","WRITE-IN"," ","7","0.7107","City/Town"
"Spokane","CITY OF DEER PARK Council Position No. 6","Tony Bailey"," ","259","30.6872","City/Town"
"Spokane","CITY OF DEER PARK Council Position No. 6","David Aufdencamp"," ","408","48.3412","City/Town"
"Spokane","CITY OF DEER PARK Council Position No. 6","Robert Whaley"," ","175","20.7346","City/Town"
"Spokane","CITY OF DEER PARK Council Position No. 6","WRITE-IN"," ","2","0.237","City/Town"
"Spokane","CITY OF SPOKANE DISTRICT NO. 3 Council Position No. 2","Christopher M Savage"," ","3748","29.0228","City/Town"
"Spokane","CITY OF SPOKANE DISTRICT NO. 3 Council Position No. 2","Cody Arguelles"," ","2479","19.1962","City/Town"
"Spokane","CITY OF SPOKANE DISTRICT NO. 3 Council Position No. 2","Zack Zappone"," ","6627","51.3164","City/Town"
"Spokane","CITY OF SPOKANE DISTRICT NO. 3 Council Position No. 2","WRITE-IN"," ","60","0.4646","City/Town"
"Spokane","CITY OF SPOKANE VALLEY Council Position No. 1","Lisa Miller"," ","1832","14.9283","City/Town"
"Spokane","CITY OF SPOKANE VALLEY Council Position No. 1","Adam Smith"," ","617","5.0277","City/Town"
"Spokane","CITY OF SPOKANE VALLEY Council Position No. 1","Mike Kelly"," ","5550","45.2249","City/Town"
"Spokane","CITY OF SPOKANE VALLEY Council Position No. 1","Kristopher Pockell"," ","4068","33.1486","City/Town"
"Spokane","CITY OF SPOKANE VALLEY Council Position No. 1","WRITE-IN"," ","205","1.6705","City/Town"
"Spokane","CITY OF SPOKANE VALLEY Council Position No. 7","Brad Hohn"," ","4256","34.3586","City/Town"
"Spokane","CITY OF SPOKANE VALLEY Council Position No. 7","Joseph Ghodsee"," ","1531","12.3597","City/Town"
"Spokane","CITY OF SPOKANE VALLEY Council Position No. 7","Laura Padden"," ","6470","52.2322","City/Town"
"Spokane","CITY OF SPOKANE VALLEY Council Position No. 7","WRITE-IN"," ","130","1.0495","City/Town"
"Spokane","CENTRAL VALLEY SCHOOL DISTRICT Director Dist No. 5","Rob Linebarger"," ","3861","26.2065","School"
"Spokane","CENTRAL VALLEY SCHOOL DISTRICT Director Dist No. 5","Mark Bitz"," ","5294","35.9329","School"
"Spokane","CENTRAL VALLEY SCHOOL DISTRICT Director Dist No. 5","Pam Orebaugh"," ","5511","37.4058","School"
"Spokane","CENTRAL VALLEY SCHOOL DISTRICT Director Dist No. 5","WRITE-IN"," ","67","0.4548","School"
"Spokane","FIRE DISTRICT NO. 3 Commissioner Position No. 1","Mike Meyer"," ","1046","32.5755","Fire"
"Spokane","FIRE DISTRICT NO. 3 Commissioner Position No. 1","Tim Flock"," ","1811","56.3999","Fire"
"Spokane","FIRE DISTRICT NO. 3 Commissioner Position No. 1","Kent Reitmeier"," ","344","10.7132","Fire"
"Spokane","FIRE DISTRICT NO. 3 Commissioner Position No. 1","WRITE-IN"," ","10","0.3114","Fire"
"Spokane","FIRE DISTRICT NO. 4 Commissioner Position No. 1","Roger Krieger"," ","2561","45.5937","Fire"
"Spokane","FIRE DISTRICT NO. 4 Commissioner Position No. 1","Dan Garner"," ","2612","46.5017","Fire"
"Spokane","FIRE DISTRICT NO. 4 Commissioner Position No. 1","Sean Siegel"," ","429","7.6375","Fire"
"Spokane","FIRE DISTRICT NO. 4 Commissioner Position No. 1","WRITE-IN"," ","15","0.267","Fire"
"Spokane","FIRE DISTRICT NO. 8 Proposition No. 1","Approved"," ","3503","61.5641","Fire"
"Spokane","FIRE DISTRICT NO. 8 Proposition No. 1","Rejected"," ","2187","38.4359","Fire"
"Spokane","FIRE DISTRICT NO. 13 Proposition No. 1","Yes"," ","389","66.7238","Fire"
"Spokane","FIRE DISTRICT NO. 13 Proposition No. 1","No"," ","194","33.2762","Fire"
"Stevens","FIRE DISTRICT - 005 Property Tax Levy for Fire Protection and Emergency Medical","Levy Yes"," ","278","58.6498","Fire"
"Stevens","FIRE DISTRICT - 005 Property Tax Levy for Fire Protection and Emergency Medical","Levy No"," ","196","41.3502","Fire"
"Stevens","CHEWELAH Council #3","Ronald L McCoy"," ","126","32.0611","City/Town"
