"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Jefferson","City of Port Townsend Council Member, Position 1","Dylan Quarles"," ","650","23.0007","City/Town"
"Jefferson","City of Port Townsend Council Member, Position 1","WRITE-IN"," ","0","0","City/Town"
"Jefferson","FIRE DISTRICT 3 Property Tax Levy to Maintain and Adequately Fund District Operations","YES"," ","106","70.6667","Fire"
"Jefferson","FIRE DISTRICT 3 Property Tax Levy to Maintain and Adequately Fund District Operations","NO"," ","44","29.3333","Fire"
"King","METROPOLITAN KING COUNTY Proposition No. 1","Approved"," ","216199","71.0053","County"
"King","METROPOLITAN KING COUNTY Proposition No. 1","Rejected"," ","88284","28.9947","County"
"King","LEGISLATIVE DISTRICT 5 State Senator","Chad Magendanz","(Prefers Republican Party)","12836","47.089","Legislative"
"King","LEGISLATIVE DISTRICT 5 State Senator","Victoria Hunt","(Prefers Democratic Party)","14383","52.7642","Legislative"
"King","LEGISLATIVE DISTRICT 5 State Senator","WRITE-IN"," ","40","0.1467","Legislative"
"King","Legislative District 33 State Senator","Tina L. Orwall","(Prefers Democratic Party)","11970","94.7443","Legislative"
"King","Legislative District 33 State Senator","WRITE-IN"," ","664","5.2557","Legislative"
"King","Legislative District 33 State Representative Pos. 1","Kevin Schilling","(Prefers Democratic Party)","4846","31.7334","Legislative"
"King","Legislative District 33 State Representative Pos. 1","Darryl Jones","(Prefers Republican Party)","3551","23.2532","Legislative"
"King","Legislative District 33 State Representative Pos. 1","Edwin Obras","(Prefers Democratic Party)","6842","44.8039","Legislative"
"King","Legislative District 33 State Representative Pos. 1","WRITE-IN"," ","32","0.2095","Legislative"
"King","LEGISLATIVE DISTRICT 34 State Senator","Emily Alvarado","(Prefers Democratic Party)","19367","96.9271","Legislative"
"King","LEGISLATIVE DISTRICT 34 State Senator","WRITE-IN"," ","614","3.0729","Legislative"
"King","LEGISLATIVE DISTRICT 34 State Representative Pos. 1","Brianna K. Thomas","(Prefers Democratic Party)","19029","96.7461","Legislative"
"King","LEGISLATIVE DISTRICT 34 State Representative Pos. 1","WRITE-IN"," ","640","3.2539","Legislative"
"King","LEGISLATIVE DISTRICT 41 State Representative Pos. 1","Vinita Kak","(Prefers Democratic Party)","1673","7.3149","Legislative"
"King","LEGISLATIVE DISTRICT 41 State Representative Pos. 1","John Whitney","(Prefers Republican Party)","6661","29.1242","Legislative"
"King","LEGISLATIVE DISTRICT 41 State Representative Pos. 1","Janice Zahn","(Prefers Democratic Party)","14509","63.4384","Legislative"
"King","LEGISLATIVE DISTRICT 41 State Representative Pos. 1","WRITE-IN"," ","28","0.1224","Legislative"
"King","Legislative District 48 State Senator","Amy Walen","(Prefers Democratic Party)","6086","38.2671","Legislative"
"King","Legislative District 48 State Senator","Vandana Slatter","(Prefers Democratic Party)","9462","59.4945","Legislative"
"King","Legislative District 48 State Senator","WRITE-IN"," ","356","2.2384","Legislative"
"King","Legislative District 48 State Representative Pos. 1","Ranga Bondada","(Prefers Democratic Party)","1389","8.3069","Legislative"
"King","Legislative District 48 State Representative Pos. 1","Dennis Ellis","(Prefers Republican Party)","5039","30.1358","Legislative"
"King","Legislative District 48 State Representative Pos. 1","Osman Salahuddin","(Prefers Democratic Party)","10269","61.4138","Legislative"
"King","Legislative District 48 State Representative Pos. 1","WRITE-IN"," ","24","0.1435","Legislative"
"King","King Executive","John Wilson"," ","26459","8.9158","County"
"King","King Executive","Amiya Ingram"," ","5339","1.7991","County"
"King","King Executive","Claudia Balducci"," ","89299","30.0908","County"
"King","King Executive","Bill Hirt"," ","5180","1.7455","County"
"King","King Executive","Don L Rivers"," ","2942","0.9914","County"
"King","King Executive","Derek Chartrand"," ","36452","12.2831","County"
"King","King Executive","Rebecca Williamson"," ","6680","2.2509","County"
"King","King Executive","Girmay Zahilay"," ","123500","41.6154","County"
"King","King Executive","WRITE-IN"," ","914","0.308","County"
"King","COUNTY COUNCIL DISTRICT NO. 5 Metropolitan King County Council District No. 5","Angela Henderson"," ","1671","7.5226","County"
"King","COUNTY COUNCIL DISTRICT NO. 5 Metropolitan King County Council District No. 5","Ryan McIrvin"," ","2689","12.1055","County"
"King","COUNTY COUNCIL DISTRICT NO. 5 Metropolitan King County Council District No. 5","Kim-Khanh Van"," ","4776","21.5009","County"
"King","COUNTY COUNCIL DISTRICT NO. 5 Metropolitan King County Council District No. 5","Steffanie Fain"," ","5449","24.5307","County"
"King","COUNTY COUNCIL DISTRICT NO. 5 Metropolitan King County Council District No. 5","Ahmad Corner"," ","1251","5.6318","County"
"King","COUNTY COUNCIL DISTRICT NO. 5 Metropolitan King County Council District No. 5","Peter Kwon"," ","6276","28.2537","County"
"King","COUNTY COUNCIL DISTRICT NO. 5 Metropolitan King County Council District No. 5","WRITE-IN"," ","101","0.4547","County"
"King","COUNTY COUNCIL DISTRICT NO. 7 Metropolitan King County Council District No. 7","Pahaliyah Brown"," ","3247","15.819","County"
"King","COUNTY COUNCIL DISTRICT NO. 7 Metropolitan King County Council District No. 7","Pete von Reichbauer"," ","12124","59.0665","County"
"King","COUNTY COUNCIL DISTRICT NO. 7 Metropolitan King County Council District No. 7","Maya Vengadasalam"," ","5078","24.7394","County"
"King","COUNTY COUNCIL DISTRICT NO. 7 Metropolitan King County Council District No. 7","WRITE-IN"," ","77","0.3751","County"
